Loan_ID,Member_ID,Book_ID,Loan_Date,Due_Date,Return_Date,Fine_Amount
1,4735,3345,2023-08-02,2023-09-01,2023-09-10,9
2,9299,3278,2023-11-18,2023-11-29,2023-12-06,7
3,6786,2914,2022-02-20,2022-03-08,2022-03-10,2
4,5849,1412,2023-02-12,2023-03-05,2023-03-06,1
5,5258,1810,2022-10-26,2022-11-23,2022-11-30,7
6,8185,5275,2023-04-28,2023-05-25,2023-05-29,4
7,6059,9084,2023-08-15,2023-09-08,2023-09-13,5
8,6012,7317,2023-12-16,2024-01-02,2024-01-02,0
9,4603,2118,2023-08-18,2023-08-28,2023-08-31,3
10,9774,2273,2023-04-16,2023-05-08,2023-05-18,10
11,6754,8892,2023-03-01,2023-03-31,2023-04-09,9
12,5224,8476,2023-07-22,2023-07-30,2023-08-03,4
13,6481,9384,2022-09-09,2022-09-16,2022-09-21,5
14,627,5589,2022-11-24,2022-12-07,2022-12-11,4
15,3304,734,2023-01-18,2023-02-07,2023-02-12,5
16,663,2832,2022-11-04,2022-11-12,2022-11-26,14
17,7243,8120,2022-06-08,2022-06-17,2022-06-20,3
18,842,4928,2023-05-11,2023-05-26,2023-06-01,6
19,2325,3861,2022-04-30,2022-05-30,2022-06-05,6
20,4553,2646,2023-11-15,2023-12-13,2023-12-26,13
21,6253,8380,2022-02-09,2022-02-23,2022-03-03,8
22,5315,4807,2023-05-24,2023-06-21,2023-07-03,12
23,8310,6192,2023-12-17,2023-12-26,2023-12-30,4
24,6225,632,2023-05-14,2023-05-25,2023-06-02,8
25,2270,7161,2023-04-09,2023-04-19,2023-04-26,7
26,5073,823,2023-02-15,2023-03-15,2023-03-16,1
27,5820,3935,2022-07-18,2022-07-30,2022-08-09,10
28,6020,6278,2023-09-19,2023-10-09,2023-10-22,13
29,2065,539,2023-09-03,2023-09-18,2023-09-22,4
30,251,4804,2023-04-17,2023-05-10,2023-05-23,13
31,2823,9511,2023-10-01,2023-10-24,2023-10-24,0
32,7251,8222,2022-10-07,2022-11-05,2022-11-13,8
33,7236,1118,2023-08-02,2023-08-24,2023-08-24,0
34,7828,2620,2023-04-06,2023-04-25,2023-05-06,11
35,706,2731,2022-11-17,2022-12-08,2022-12-20,12
36,195,2725,2023-02-22,2023-03-06,2023-03-12,6
37,8637,3419,2022-04-16,2022-05-12,2022-05-24,12
38,488,8403,2023-05-29,2023-06-14,2023-06-26,12
39,9509,2551,2022-02-03,2022-02-16,2022-02-27,11
40,2899,1347,2022-11-28,2022-12-12,2022-12-14,2
41,598,6613,2023-11-09,2023-11-25,2023-11-28,3
42,3586,3074,2022-10-28,2022-11-11,2022-11-15,4
43,9461,1369,2022-12-30,2023-01-14,2023-01-23,9
44,8967,2596,2022-09-11,2022-10-03,2022-10-04,1
45,4265,4411,2022-08-28,2022-09-19,2022-09-25,6
46,8878,1779,2023-07-04,2023-07-31,2023-08-06,6
47,175,3183,2023-04-05,2023-04-30,2023-05-11,11
48,99,6209,2022-09-06,2022-09-21,2022-09-28,7
49,3205,6182,2022-12-23,2022-12-31,2023-01-06,6
50,5668,7538,2022-05-26,2022-06-05,2022-06-11,6
51,4499,5536,2023-03-21,2023-04-10,2023-04-12,2
52,8190,22,2022-10-16,2022-11-03,2022-11-11,8
53,5914,5549,2022-04-05,2022-05-04,2022-05-07,3
54,9473,8429,2023-10-12,2023-11-08,2023-11-08,0
55,1776,6163,2023-04-16,2023-04-27,2023-05-03,6
56,1598,8327,2023-06-26,2023-07-09,2023-07-22,13
57,1170,7134,2023-03-28,2023-04-25,2023-04-28,3
58,1054,7979,2022-11-24,2022-12-24,2023-01-02,9
59,340,6239,2022-04-01,2022-04-24,2022-04-30,6
60,1300,1262,2023-04-10,2023-05-08,2023-05-18,10
61,8971,3568,2022-08-23,2022-09-01,2022-09-09,8
62,9447,4171,2022-11-07,2022-11-18,2022-11-29,11
63,3001,2295,2023-01-02,2023-01-14,2023-01-25,11
64,5353,8809,2022-08-13,2022-08-27,2022-08-28,1
65,7722,6028,2023-07-24,2023-07-31,2023-08-13,13
66,6402,5867,2023-04-22,2023-05-20,2023-05-21,1
67,7316,8058,2023-05-12,2023-06-03,2023-06-13,10
68,9103,2874,2023-03-20,2023-04-06,2023-04-12,6
69,4108,5152,2022-02-01,2022-02-28,2022-03-04,4
70,6489,7428,2023-09-08,2023-10-02,2023-10-04,2
71,5220,2143,2023-02-15,2023-03-15,2023-03-19,4
72,5686,4531,2023-03-21,2023-04-19,2023-04-30,11
73,3811,4638,2023-08-23,2023-09-21,2023-09-30,9
74,8430,2145,2022-06-08,2022-06-28,2022-07-09,11
75,7663,7834,2022-03-12,2022-04-05,2022-04-11,6
76,6242,8262,2023-03-28,2023-04-11,2023-04-19,8
77,2817,3170,2023-10-03,2023-10-18,2023-10-30,12
78,1240,4775,2023-06-02,2023-06-30,2023-07-08,8
79,1461,1611,2022-08-22,2022-09-09,2022-09-19,10
80,7531,1957,2022-12-07,2022-12-31,2023-01-11,11
81,6754,6264,2023-05-04,2023-05-20,2023-05-22,2
82,7370,8961,2023-07-05,2023-07-27,2023-08-02,6
83,1673,2985,2022-08-23,2022-09-16,2022-09-22,6
84,2466,3731,2023-05-22,2023-05-30,2023-06-10,11
85,7204,4701,2023-11-02,2023-11-27,2023-12-10,13
86,7886,5730,2022-09-07,2022-10-06,2022-10-10,4
87,5837,8952,2022-02-21,2022-03-17,2022-03-22,5
88,9843,2807,2022-01-21,2022-01-29,2022-02-05,7
89,1280,7772,2022-03-02,2022-04-01,2022-04-13,12
90,165,4178,2023-10-18,2023-11-08,2023-11-09,1
