Purchase_ID,Supplier_ID,Book_ID,Purchase_Date,Quantity,UnitPrice
1,7282,14964,2022-06-16,4372,16.59
2,3326,18173,2022-03-04,8939,10.72
3,7020,42817,2023-05-17,7319,34.77
4,785,85747,2023-09-09,6167,30.06
5,4072,91812,2022-10-28,2328,7.5
6,5434,56617,2022-06-25,8569,17.06
7,6036,12893,2022-01-24,1142,29.9
8,2137,17213,2023-09-12,8283,8.25
9,1529,92248,2023-06-24,1717,17.79
10,2252,42652,2023-08-23,6768,31.67
11,837,20112,2022-01-20,4540,27.81
12,289,64603,2023-09-17,8603,19.05
13,287,43340,2022-07-26,2990,8.07
14,1786,93268,2023-11-09,6070,9.73
15,5473,38210,2023-12-21,8498,19.66
16,9738,84085,2023-04-26,7710,38.78
17,372,23591,2023-10-12,8198,32.98
18,5434,85441,2022-08-03,3487,32.92
19,9755,769,2022-12-17,7349,31.12
20,3444,77202,2022-03-26,6231,5.63
21,1629,61221,2022-04-17,1191,24.51
22,5976,56168,2023-05-07,9247,35.78
23,6156,83721,2022-07-22,4644,9.53
24,556,13218,2022-11-27,3137,34.96
25,7337,76425,2022-01-02,7034,36.53
26,7846,82245,2023-06-14,6464,10.13
27,3114,726,2023-03-03,2054,38.56
28,3929,5928,2022-02-16,2549,34.13
29,9636,62141,2022-08-06,1309,39.14
30,8118,50123,2023-06-22,4673,11.95
31,8049,1065,2022-02-15,3358,5.1
32,6594,16122,2022-11-13,8689,39.92
33,1820,83869,2022-02-12,7369,10.81
34,9008,67670,2023-11-07,7987,21.9
35,9079,76748,2023-07-18,8534,18.4
36,9384,1852,2022-12-14,8337,29.96
37,1560,95117,2023-11-07,2184,11.64
38,7253,88274,2022-06-29,8270,9.05
39,6825,50567,2022-02-23,1916,20.73
40,585,55811,2023-06-06,2585,33.08
41,5679,62203,2023-09-12,4084,33.95
42,351,49695,2023-04-27,6611,16.43
43,8404,15625,2022-09-25,8393,6.08
44,771,7631,2022-01-07,5947,5.39
45,6945,49673,2022-08-29,4110,35.16
46,5083,85272,2022-10-02,6478,30.15
47,1355,55013,2022-04-18,6784,27.68
48,8344,24517,2022-04-05,4448,26.98
49,1279,74871,2023-01-22,7425,16.93
50,1969,85525,2022-03-16,7266,22.95
51,798,64329,2023-03-08,9447,31.07
52,3839,67029,2022-02-06,7456,23.09
53,3831,74364,2022-08-26,7088,27.23
54,8763,38446,2023-06-05,2903,31.71
55,9304,74447,2022-07-07,7678,24.84
56,6347,24727,2023-04-28,5698,19.92
57,9994,14157,2023-05-25,7866,26.44
58,2278,57654,2023-06-29,6221,10.82
59,7542,54007,2023-08-12,2435,36.33
60,5372,726,2022-12-04,9749,36.79
61,1411,35996,2022-05-09,9295,37.54
62,2379,94812,2022-05-14,5474,35.16
63,1811,47746,2022-02-21,6132,6.9
64,6604,60971,2023-05-20,8732,9.47
65,2168,85697,2023-04-25,5554,10.66
66,9218,66544,2023-08-18,2479,9.26
67,3891,25973,2022-12-09,7257,16.8
68,3948,18997,2023-12-30,7085,31.42
69,7753,19163,2022-09-27,6966,24.68
70,7544,21407,2022-03-29,7511,22.25
71,2221,54215,2023-10-19,1289,14.08
72,1026,98057,2022-01-28,7485,32.37
73,802,87745,2023-08-20,8675,25.06
74,5414,15354,2022-06-26,3969,15.41
75,7406,73058,2022-12-22,7940,33.46
76,6758,26622,2022-04-12,4394,25.62
77,5213,51470,2023-02-01,6477,32.7
78,6313,52577,2023-02-11,5006,19.61
79,2471,23961,2023-02-04,3005,5.7
80,5366,69234,2022-06-20,8789,5.99
81,1788,14873,2023-03-07,4444,22.26
82,9545,81499,2023-12-21,9078,16.37
83,4633,66675,2022-10-08,3508,10.61
84,4297,91705,2023-06-25,4363,11.93
85,8387,14373,2023-05-25,6469,25.02
86,3819,73505,2023-09-02,2942,14.9
87,239,1266,2023-10-18,6530,28.1
88,9007,69370,2022-10-10,7832,33.5
89,5889,65233,2023-01-11,2978,23.62
90,9432,30271,2023-01-11,8270,38.66
91,2958,1119,2023-06-29,1636,35.58
92,55,15284,2023-08-06,7750,28.79
93,1491,3935,2022-01-16,9492,30.1
94,8703,35925,2023-10-15,1635,35.73
95,1383,50866,2023-09-27,9947,32.97
96,8357,88151,2023-01-12,7256,11.19
97,7481,83723,2023-08-18,6976,31.97
98,6942,36501,2023-01-05,3745,20.9
99,9384,36805,2022-07-15,6377,33.59
100,4163,6355,2023-06-28,8122,13.83
101,9668,8837,2023-09-19,7599,12.87
102,9262,52706,2022-05-31,6234,21.79
103,5610,63413,2023-12-07,9539,35.88
104,6748,63593,2023-03-08,3148,6.88
105,7322,17517,2022-01-20,6629,24.48
106,9985,98651,2022-09-12,3770,17.94
107,7191,16113,2022-12-09,9594,11.45
108,2773,3056,2023-11-18,5864,8.23
109,5183,81768,2023-01-17,5689,19.6
110,6995,81102,2022-11-28,1438,35.48
111,6305,39352,2022-08-02,1213,16.81
112,3605,3063,2022-02-20,2658,29.4
113,5318,54613,2022-05-15,4727,36.92
114,5744,38033,2022-05-28,8063,12.36
115,2863,6319,2023-03-13,7825,10.3
116,4924,4036,2022-07-01,9809,31.76
117,7407,15630,2022-09-07,4284,23.27
118,2093,49026,2023-10-31,2864,15.27
119,3558,65344,2022-10-16,4408,33.17
120,429,73794,2023-02-14,5396,35.51
121,2825,53033,2023-12-07,3786,11.64
122,2141,75089,2023-02-17,8653,27.24
123,8740,17888,2023-02-16,8366,21.68
124,4977,99406,2022-10-26,3536,19.91
125,7243,19665,2023-08-12,3092,20.25
126,5538,42679,2022-08-10,3708,19.53
127,4042,45676,2023-08-31,2854,15.53
128,4788,86971,2023-06-12,2932,29.32
129,5917,99365,2022-12-29,6061,34.58
130,9768,23738,2023-08-22,2312,11.38
131,7546,40575,2022-12-09,3569,33.7
132,9007,35653,2023-12-19,9665,9.16
133,7782,90517,2022-03-20,5226,5.87
134,9543,27661,2023-06-09,2895,29.35
135,8585,24399,2023-11-19,9234,14.1
136,7636,66688,2022-03-19,4350,35.87
137,876,62872,2023-04-06,4457,28.2
138,2565,39885,2022-10-12,4932,7.43
139,1583,74398,2022-03-12,5765,19.16
140,1136,99452,2023-07-01,8235,24.07
141,8607,945,2023-05-18,3961,10.53
142,5385,52516,2022-11-04,2501,35.35
143,7783,30363,2023-09-05,1152,15.58
144,5655,1890,2022-03-08,6884,16.85
145,3854,14357,2022-09-24,1874,28.41
146,1911,64090,2022-02-24,4775,13.39
147,3145,32480,2023-12-10,3259,21.62
148,3130,53809,2023-12-18,2505,32.56
149,9203,84677,2023-06-08,2226,33.65
150,9563,92032,2023-09-23,3734,6.37
151,5264,75151,2023-02-01,1839,28.81
152,3198,67252,2022-07-27,3914,30.07
153,2540,32558,2022-11-12,6725,20.04
154,3970,66994,2023-01-27,5304,18.23
155,953,78652,2022-03-17,9840,22.13
156,721,95041,2023-03-03,5137,31.64
157,6003,64095,2023-01-23,3891,33.36
158,7109,87672,2023-12-30,5005,32.43
159,7859,2692,2022-09-01,6189,19.13
160,360,22580,2023-03-10,9447,22.06
161,7416,24430,2023-02-04,3674,17.3
162,7075,16580,2022-02-17,9817,31.87
163,4197,21369,2023-10-07,7178,7.59
164,7060,24954,2023-05-14,4647,23.11
165,3727,16207,2023-04-01,2869,17.49
166,8331,2371,2023-10-12,9771,13.35
167,5063,63432,2023-12-11,1961,25.82
168,5533,23640,2023-07-30,1041,14.82
169,7037,77639,2022-01-20,1199,33.93
170,8377,47652,2022-07-17,3015,20.58
171,859,42068,2022-05-07,9812,22.24
172,5272,70920,2022-05-28,5438,29.5
173,1775,83113,2022-07-07,8139,35.98
174,8727,27211,2022-06-12,7893,30.04
175,2582,88920,2022-03-01,1131,17.3
176,9605,56490,2023-05-03,7372,34.81
177,5016,84297,2022-09-05,6543,21.67
178,1969,99585,2023-01-25,7899,13.68
179,3017,9152,2023-07-01,2838,28.55
180,5254,42061,2023-02-21,9897,31.42
181,2249,92644,2022-02-15,3560,14.03
182,9775,58506,2023-08-10,5568,23.52
183,5408,34509,2023-12-08,4869,36.07
184,925,53516,2023-10-31,9598,17.69
185,6488,93562,2022-03-27,9171,16.8
186,9217,21716,2022-11-13,7101,38.41
187,8161,66740,2022-02-03,5518,31.42
188,7018,21756,2023-11-06,6724,23.79
189,8839,1641,2022-04-18,9615,38.72
190,1739,39121,2023-05-03,8702,39.37
191,1952,44426,2022-03-18,5033,22.14
192,9086,86043,2022-10-12,3807,20.21
193,3743,71562,2022-11-30,3459,32.07
194,8361,73842,2023-05-22,4034,33.64
195,684,91759,2022-06-11,2544,7.66
196,1036,19327,2023-05-12,6191,27.02
197,3258,58353,2023-04-28,2668,23.73
198,5457,61251,2022-06-25,9198,10.95
199,1697,50124,2022-11-29,1749,37.96
200,44,23774,2023-01-20,5142,13.91
201,623,64573,2022-06-19,3035,26.06
202,606,30894,2023-08-24,3306,6.56
203,9241,399,2023-11-01,3905,34.93
204,1304,59761,2022-03-15,1868,17.85
205,3063,86624,2023-04-25,8376,5.07
206,1107,50662,2022-12-28,7134,17.53
207,5552,17323,2022-07-23,6001,31.25
208,341,39237,2023-06-07,6018,39.96
209,887,70618,2023-08-30,6816,34.74
210,1221,65870,2023-12-23,1482,25.69
211,9177,47442,2022-04-30,9305,29.17
212,5384,82601,2023-06-20,4038,5.92
213,5948,81482,2022-11-09,9145,30.75
214,8472,96537,2023-01-07,7751,24.28
215,4028,64128,2022-01-22,3798,20.98
216,9737,86398,2022-06-04,8721,35.09
217,906,35162,2023-08-30,1300,32.0
218,21,55511,2022-11-08,9452,10.07
219,6817,45186,2022-08-03,1950,15.92
220,5556,56886,2022-02-11,8519,26.01
221,5117,91971,2022-06-02,5644,36.68
222,1315,93940,2023-08-25,3902,20.92
223,179,12559,2022-02-09,1397,5.97
224,8809,6512,2023-01-12,5510,21.27
225,9072,54304,2023-06-21,7700,8.19
226,2254,91210,2022-11-12,5803,38.84
227,9222,60290,2022-01-04,8618,18.47
228,7983,73149,2023-09-20,3178,17.64
229,4312,8491,2023-05-01,5815,28.01
230,4829,80488,2022-03-27,9814,11.54
231,5863,19738,2022-04-06,2903,22.41
232,7510,82592,2022-06-29,3721,35.7
233,8276,6942,2023-09-10,3948,7.25
234,5446,26938,2022-01-27,5471,38.42
235,2485,48848,2023-02-25,2822,22.99
236,2827,13379,2022-06-13,4158,13.33
237,4048,67729,2022-08-08,7845,30.28
238,768,31019,2023-04-15,4320,26.59
239,6989,32354,2022-03-13,7940,8.51
240,6919,95549,2022-06-14,4451,12.19
241,9453,49234,2022-03-27,7156,26.11
242,4329,80710,2023-01-03,4826,29.58
243,4963,23723,2023-04-21,6756,37.11
244,5554,77363,2022-02-15,2309,13.38
245,4004,48077,2023-10-15,1484,12.7
246,9017,38061,2022-01-01,3945,10.24
247,6789,10815,2022-10-23,8774,21.7
248,2839,80727,2023-02-25,9804,25.92
249,34,89892,2022-03-13,1859,30.11
250,9281,64389,2022-11-14,1303,10.82
251,4943,1092,2023-01-12,1752,34.93
